text	topic	parent_L1
The first Shia theocracy in the 20th century was established in Iran following the Iranian Revolution in 1979, which led to the fall of the Shah of Iran.	Government of Iran	Government by country
He ordered the Iranian delegation to the UN to negotiate issues pending before the Security Council directly with the Soviet delegation.	Government of Iran	Government by country
The National Cartography Center of Iran (NCCC, Persian: سازمان نقشه برداری کشور) is the main organization for cartography in Iran.	Government of Iran	Government by country
He also announced plans to provide 14,000 houses to households with two disabled members through the foundation’s programs.	Government of Iran	Government by country
While their efforts went unanswered by both Iranian and international authorities and organizations, they searched for new ways to produce awareness of Iran's human rights violations and redefined legal boundaries to further the cause of justice.	Government of Iran	Government by country
Formation The establishment of the Imperial Inspectorate Organization was shaped by the context and factors primarily associated with the events and aftermath of the 1953 Iranian coup d'état.	Government of Iran	Government by country
The group itself also took part in insurgent activities, and is alleged to be involved in the killing of six British Royal Military Policemen in June 2003 by a mob in Majar al-Kabir, Maysan Governorate.	Government of Iran	Government by country
The Expediency Council is only meant to act on behalf of the legislative branch, although in reality it intercedes as a mediator between all bureaucratic branches, including the executive.	Government of Iran	Government by country
Yahya Ale Eshaq (Persian: یحیی آل‌اسحاق; born June 6, 1949 in Qom, origin from Zanjan) is an Iranian politician who served as minister of commerce in the cabinet of Akbar Hashemi Rafsanjani from 1993 to 1997.	Government of Iran	Government by country
The Islamic Republican Party (IRP) which together with its Khomeinist allies had seized power and ousted all opponents, held an uncontested and single-party presidential election in October 1981 and got its candidate Ali Khamenei elected.	Government of Iran	Government by country
Abu'l-Fath al-Fadl ibn Ja'far ibn al-Furat (died 938), held several posts in the fiscal ministries of land revenue, vizier for a few months in 932 and in 937.	Government of Iran	Government by country
UAE has disputed Iran's sovereignty over Abu Musa, an island in the Persian Gulf that was agreed in a 1971 memorandum of understanding to be jointly administered with Iran for civil matters in the southern part of the island (called Jazirat-Abu-Musa in Arabic and Jazireh-ye-Abu-Musa in Persian).	Government of Iran	Government by country
The National Front was led by Majlis Member, Mohammed Mossadegh, whose leading ally in Parliament was the Assembly Speaker, Ayatollah Kashani.	Government of Iran	Government by country
After the revolution, it was dissolved in mid-1985 and the Youth and Adolescents Organization was formed.	Government of Iran	Government by country
He received his PhD from Imam Sadiq University in 2004 and now is a professor of communications at this university.	Government of Iran	Government by country
He involved in the discussions of a potential World Oil Bank involving Russia and Venezuela, and agreed on a cooperation protocol with the Democratic Republic of the Congo.	Government of Iran	Government by country
This card is intended to reduce the need for the more valuable Iranian identity booklet, which is issued at birth.	Government of Iran	Government by country
Sousan Keshavarz, Mohammad Aliabadi, and Fatemeh Ajorlou were not approved by Parliament for the Ministries of Education, Energy, and Welfare and Social Security respectively.	Government of Iran	Government by country
They find that the annual middle-class size would have been approximately 11 percentage points larger, on average, without the post-2012 sanctions.	Government of Iran	Government by country
The second attack took place on 6 December 2024, when another group of Australian arsonists firebombed the Adass Israel Synagogue in Melbourne, injuring one congregation member and dealing approximately A$45 million of property damage.	Government of Iran	Government by country
Key organizations of member states Member states are represented at the OPCW by their Permanent Representative.	Government of Iran	Government by country
September 2025 Visa Policy Update In September 2025, the Iranian Ministry of Foreign Affairs revised its August 2025 visa policy, clarifying that the new restrictions apply only to citizens of European countries, Australia, New Zealand, the United States, the United Kingdom, and Canada.	Government of Iran	Government by country
That same year, Iran hosted the historic Ramsar Convention on Wetlands of International Importance, positioning the DOE as a pioneer in international environmental governance in the Global South.	Government of Iran	Government by country
Most international sanctions on Iran were lifted in 2016, following the implementation of the Joint Comprehensive Plan of Action nuclear deal.	Government of Iran	Government by country
The incident sparked tensions with Iran; the Iranian government denounced Erdoğan's remarks as an act of challenging Iran's sovereignty, and a number of Iranian citizens protested at Turkish diplomatic missions in their country.	Government of Iran	Government by country
4 In view of Article (15) of the Act on the Organization and Support of the Production and Supply of Housing, approved on May 14, 2008, a 12 percent tax shall be applied to the transactional value of the undeveloped lands with residential use.	Government of Iran	Government by country
He was president of Torr International, a nanotechnology company headquartered in New Windsor, New York.	Government of Iran	Government by country
I believe part of the blame lies with the satellite dish issue at Islamic Republic of Iran Broadcasting.	Government of Iran	Government by country
A survey may be carried out by a flag State, or by a Classification Society who have been authorised by a flag State.	Government of Iran	Government by country
Chitgar was presented amongst many others, such as Iran's former prime minister Shapour Bakhtiar who had also been assassinated during his French exile .	Government of Iran	Government by country
He returned to Iran in 2005, recanting his statements, then migrated to the United Arab Emirates in 2011.	Government of Iran	Government by country
After great public outcry and journalistic investigation in Iran and publicity internationally, prosecutors announced in mid-1999 that one Saeed Emami had led "rogue elements" in Iran's intelligence ministry in the killings, but that Emami was now dead, having committed suicide in prison.	Government of Iran	Government by country
With an average wait time of 2 minutes and 5 seconds, the hotline directly answered 17,866 calls while automatically processing an additional 12,224 through its IVR system.	Government of Iran	Government by country
They sought to resist Western intervention and regime change efforts in the country, which they believe, if successful, would challenge their own influence in the region and potentially lead to regime change in Iran.	Government of Iran	Government by country
Under its charter, EDBI acts as the administrative arm of the Government of Iran to contribute to the national economy, through promoting non-oil export of goods and other technical and engineering services of Iranian origin and also to enhance economic cooperation with other countries.	Government of Iran	Government by country
In June 2004, the Supreme Court substituted a charge of "insulting religious values" for the blasphemy charge, and imposed a jail term of three years among other penalties.	Government of Iran	Government by country
This includes: implementing commercial strategies and regulations, promoting exports, development programs, import and export regulations, pricing of domestic commodities, domestic and international trade fairs and exhibitions.	Government of Iran	Government by country
The goal was to quell regional uprisings and modernize the Persian army, but as a result of pressure from Russia and the United Kingdom, Sweden decided to call back most of their officers during World War I.	Government of Iran	Government by country
The Shia Crescent is the notionally crescent-shaped region of the West Asia where the majority population is Shia or where there is a strong Shia minority in the population.	Government of Iran	Government by country
Iran agreed covertly to issue the loan and also invited selected Sri Lankan officers to train in Iran for the war.	Government of Iran	Government by country
Six of Irsan's children who were still minors were put in the custody of child protective services (CPS).	Government of Iran	Government by country
The organization was governed by a five-member High Council composed of experts selected by the Minister of Health, Treatment and Medical Education.	Government of Iran	Government by country
Hasanvand acknowledged to be a member of Ministry of Intelligence and National Security (Iran) during his first election campaign.	Government of Iran	Government by country
In 1943, Radio Tehran added another section to the number of its previous sections, and its program was increased by three hours in the mornings.	Government of Iran	Government by country
After election of Hassan Rouhani as President, Management and Planning Organization was restored in November 2014 and Mohammad Bagher Nobakht was appointed as its head.	Government of Iran	Government by country
Meanwhile, conservative Iranian politicians have criticized him for publicizing his inability to solve the improve condition for Iranian citizens.	Government of Iran	Government by country
During a February 2025 meeting between Khamenei and the IRGC, commanders pressured Khamenei to rescind his ban on nuclear weapons.	Government of Iran	Government by country
Qajar dynasty Naser al-Din Shah Mozaffar ad-Din Shah Ahmad Shah Pahlavi dynasty Reza Shah Mohammad Reza Shah See also List of international trips made by presidents of Iran Foreign relations of Iran References == External links ==	Government of Iran	Government by country
The United States dismissed announced a "draft accord" among permanent Security Council members for additional sanctions on Iran, designed to pressure it to end its nuclear enrichment program.	Government of Iran	Government by country
1968 – 8 August 1998) was an Iranian reporter, working for IRNA, as the news agency's head of office in Mazar-i-Sharif, Afghanistan.	Government of Iran	Government by country
Armenian names Armenian compound personal names often contain the element "šah," meaning "king" in Middle Persian and New Persian.	Government of Iran	Government by country
The government provided transgender persons financial assistance in the form of grants of up to 45 million rials $1,240 and loans up to 55 million rials $1,500 to undergo gender reassignment surgery.	Government of Iran	Government by country
The mechanism thus neutralized the potential veto power of Russia or China (or, conversely, the U.S., UK or France) if Iran were in material breach.	Government of Iran	Government by country
After the Iranian Revolution of 1979, which formed the Islamic Republic of Iran, the Majles was succeeded by the Islamic Consultative Assembly, and the Senate of Iran was abolished, making it once again a unicameral legislature.	Government of Iran	Government by country
As prior deputy managing director of the Foundation for Freedom, Growth and Development of Iran (BARAN Foundation, outlawed in 2011), he was arrested in December 2009 following the Ashura protests and held in Solitary confinement in Evin Prison.	Government of Iran	Government by country
During final years of the 1970s he served as Foreign-Affairs Adviser to prime ministers Amir Abbas Hoveyda, Jamshid Amouzegar and Jafar Sharif-Emami.	Government of Iran	Government by country
Hassan Yousefi Eshkevari, a religious scholar and journalist with Neshat and Iran-é-Farda, was imprisoned upon his return in August and tried before a Special Court for the Clergy beginning in October.	Government of Iran	Government by country
History Tasnim was founded on 30 June 2012 by Islamic Revolutionary Guard Corps (IRGC) commander Hamidreza Moghaddamfar, board chairman Jafar Darouneh, and CEO Majid Qolizadeh Zahmatkesh.	Government of Iran	Government by country
Though the Free Palestine Movement's activity is mostly concentrated in Damascus, the organization is known to have committed forces to fronts in other regions of Syria as well.	Government of Iran	Government by country
Iranians who have served in the running or overseeing of Setad include Mohammad Javad Iravani, who took over as head of Setad in 1997, and Mohammad Mokhber, who became the CEO in 2007.	Government of Iran	Government by country
Ḥasan-ʿAli Ḥekmat, "Moḵtaṣar-i dar šarḥ-e zendegi-e ostād ʿAli-Aṣḡar-e Ḥekmat", unpublished pamphlet, Tehran, 1981.	Government of Iran	Government by country
Shah Abbas therefore opened negotiations with the Portuguese on Ormuz, although he made it clear he had no intention of handing back any of the places he had seized.	Government of Iran	Government by country
List Legend Reformist (7) Principlist (4) Military (0) References The Governors General of Iran's provinces were elected in the government of Ebrahim Raisi.	Government of Iran	Government by country
As such the tribunal proceedings may be considered as finalized per the date of establishing the foundation.	Government of Iran	Government by country
The Supreme Leader of Iran has the power to dismiss cabinet members like ministers, vice presidents and presidents at any time, regardless of parliamentary decisions.	Government of Iran	Government by country
The legal code is now based on Islamic law or sharia, although many aspects of civil law have been retained, and it is integrated into a civil law legal system.	Government of Iran	Government by country
Ta'zir imprisonment is a type of imprisonment that is written and executed, differing from Hadd imprisonment (divine limits prescribed by Islamic law).	Government of Iran	Government by country
History Traditionally in Shia Islam, an ayatollah has an office (bayt), often run by his son, to communicate and advise his followers on religious issues and to organize matters such as the collecting and distributing of charity.	Government of Iran	Government by country
After a few years, the building was given to the Iranian Police Criminal Investigation Department of Tabriz.	Government of Iran	Government by country
Fatiha stated the Coastal Shield Brigade would take responsibility for any operations done against Hay'at Tahrir al-Sham in the Latakia Governorate.	Government of Iran	Government by country
Mothers of Khavaran were the first to call for the release of prisoners and warn of their possible massacre.	Government of Iran	Government by country
His desire to study religious sciences led him to the Shahid Morteza Motahhar High School in Tehran in 1360.	Government of Iran	Government by country
On June 29, 2004, IAEA Director General Mohammad ElBaradei announced that the Bushehr reactor was "not of international concern" since it was a bilateral Russian-Iranian project intended to produce nuclear energy.	Government of Iran	Government by country
According to the Syrian Observatory for Human Rights, at least 35 Iran-backed militiamen were killed in the strikes in Syria including 16 fighters of the Iraqi Popular Mobilization Forces and 4 fighters of the Afghan Fatemiyoun brigade and 1 of the Zainabiyoun brigade.	Government of Iran	Government by country
He holds a bachelor's degree in law, a master's degree and a doctorate in law from the Faculty of Law and Political Science, University of Tehran, and a master's degree in management from Indiana University.	Government of Iran	Government by country
Voters were required to give name, address and the number and place of issuance of his identity card.	Government of Iran	Government by country
Background Iranian opposition has divided been for decades, consisting of diverse ideological groups including republicans, monarchists, and various civic society movements.	Government of Iran	Government by country
Later, she established an elementary school for Afghan refugees in Iran while she was working as Officer in Charge in Refugees' Cultural Center.	Government of Iran	Government by country
Before the referendum, some political groups suggested various names consonant with the ideology of the revolution, such as a Republic or a Democratic Republic.	Government of Iran	Government by country
The Swedish Security Service (SÄPO) was severely criticised for having obstructed the criminal investigation carried out by the local Swedish police by withholding important information.	Government of Iran	Government by country
According to a report by Le Figaro, Western intelligence sources claimed in 2015 that Khamenei had prostate cancer with two years left to live.	Government of Iran	Government by country
Certain analysts believe the campaign failed to change Iran's regional activities or counter Iran's proxy influence in the region, force Iran to renegotiate the nuclear deal and hinder its nuclear and missile programs.	Government of Iran	Government by country
However, under article 235, if the active partner is non-Muslim and the passive partner is non-Muslim, the penalty is execution.	Government of Iran	Government by country
However, an increasing inclination of using the library by the researches and scholars, prompted a faster growth to the library.	Government of Iran	Government by country
