text	topic	parent_L1
In physics this type of integral appears frequently, for example, in quantum mechanics, to find the probability density of the ground state of the harmonic oscillator.	Theorems in mathematical analysis	Mathematical theorems
The reciprocal rule can be used to show that the power rule holds for negative exponents if it has already been established for positive exponents.	Theorems in mathematical analysis	Mathematical theorems
As the volume is divided into smaller and smaller parts, the surface integral on the right, the flux out of each subvolume, approaches zero because the surface area S(Vi) approaches zero.	Theorems in mathematical analysis	Mathematical theorems
Kakutani fixed-point theorem: Every correspondence that maps a compact convex subset of a locally convex space into itself with a closed graph and convex nonempty images has a fixed point.	Theorems in mathematical analysis	Mathematical theorems
If V {\displaystyle V} is an inner product space (or even infinite-dimensional Hilbert space) then this result is obvious as one may take for { e i } {\displaystyle \{e_{i}\}} any orthonormal basis of V {\displaystyle V} (the dual basis is then { ( e i | ⋅ ) } {\displaystyle \{(e_{i}|\cdot )\}} ).	Theorems in mathematical analysis	Mathematical theorems
Proof from the mean and intermediate value theorems The second proof is based on combining the mean value theorem and the intermediate value theorem.	Theorems in mathematical analysis	Mathematical theorems
In mathematical analysis, the rising sun lemma is a lemma due to Frigyes Riesz, used in the proof of the Hardy–Littlewood maximal theorem.	Theorems in mathematical analysis	Mathematical theorems
For any natural number n {\displaystyle n} , let x n = ∑ k = 1 n ⟨ x , e k ⟩ e k {\displaystyle x_{n}=\sum _{k=1}^{n}\langle x,e_{k}\rangle e_{k}} This vector x n {\displaystyle x_{n}} is the projection of x {\displaystyle x} onto the subspace spanned by the first n {\displaystyle n} basis vectors.	Theorems in mathematical analysis	Mathematical theorems
Such a power series is "badly behaved" in the sense that it cannot be extended to be an analytic function anywhere on the boundary of its disc of convergence.	Theorems in mathematical analysis	Mathematical theorems
Further reading Jacob Lurie's lecture notes on a von Neumann algebra at https://www.math.ias.edu/~lurie/261y.html	Theorems in mathematical analysis	Mathematical theorems
In this setting, G {\displaystyle G} plays the role of the real number line in the classical version of Poisson summation, and Γ {\displaystyle \Gamma } plays the role of the integers n {\displaystyle n} that appear in the sum.	Theorems in mathematical analysis	Mathematical theorems
If 𝜏 is any other locally convex Hausdorff topological vector space topology on X, then we say that 𝜏 is compatible with duality between X and Y if when X is equipped with 𝜏, then it has Y as its continuous dual space.	Theorems in mathematical analysis	Mathematical theorems
Various notions of convergence specify precisely what the word 'difference' should mean in that description; these notions are not equivalent to one another, and vary in strength.	Theorems in mathematical analysis	Mathematical theorems
If the sequence of functions converges pointwise, the inequalities turn into equalities and the theorem reduces to Lebesgue's dominated convergence theorem.	Theorems in mathematical analysis	Mathematical theorems
2 n + 1 {\displaystyle \int _{0}^{\infty }x^{2n}e^{-{x^{2}}/{a^{2}}}\,dx={\sqrt {\pi }}{\frac {a^{2n+1}(2n-1)!!}{2^{n+1}}}} ∫ 0 ∞ x 2 n + 1 e − x 2 / a 2 d x = n !	Theorems in mathematical analysis	Mathematical theorems
